variety,yield_bu_ac,test_weight_lb_bu,protein_pct,height_in,maturity_days,trial_name,trial_year,location,wheat_class,planted_date,harvested_date,source,source_url
OR2160243,73,60.4,11.3,30,147,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
UI Magic CL+,73,60.5,12.9,26,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Jefe,72,61.5,10.6,27,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Inspire,72,59,11.9,31,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8348 AX,72,61.7,12.1,35,146,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Castella (Club),71,60.1,11.9,29,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WA8397,71,58.6,11.7,29,149,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Resilience CL+,71,61.1,12.6,29,150,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Hydra AX,71,62.8,11,31,144,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WB1720,70,61.6,12.1,29,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Battle Ax,70,63.1,12,30,143,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
SY Dayton,69,61.3,11.6,28,147,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
ARS14X1114RS-3CBW (Club),69,61.1,12.2,27,149,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
ARS09X500CBW (Club),69,61.1,12.6,29,148,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Eclipse AX,69,59.4,11.3,31,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LCS Dagger AX,69,62.5,11.8,29,142,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
WB4510CLP,69,63.2,12,31,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
ARS-Selbu 2.0,67,60.8,12.1,29,151,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Cameo (Club),67,58.9,13.1,27,151,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
LWW20-2867,67,59.6,10.8,27,145,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
ARS-Crescent (Club),64,59.8,12.3,28,152,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
YSC-215,63,62.5,11.5,30,148,2023 Dayton Winter Wheat Trial,2023,"Dayton, WA",SWW,10/6/2022,8/4/2023,nwgg_dayton_sww_2023,https://inetsgi.com/customer/780/ae76dba6.pdf
Scorpio,84,61.6,12.3,30,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Keldin (1200k),84,63.3,11.9,34,148,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WA8399,84,60.7,11,31,147,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
Keldin (1050k),83,63.4,12,33,144,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
LCS Missile,82,61.6,12,32,143,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
WA836B,82,61.7,12.3,30,152,2023 Walla Walla Winter Wheat Trial - HRW,2023,"Walla Walla, WA",HRW,10/6/2022,7/21/2023,nwgg_dayton_ww_hrw_2023,https://inetsgi.com/customer/780/fe5c275e.pdf
